id, 14:1 (g), 16:1 (g), 18:1 (g), 20:1 (g), 18:2 n-6 (g), 18:3 n-3 (g), 20:4 (g), 20:5 (g), 22:5 (g), 22:6 (g), 18:1t (g), 18:2t (g),
1, , , 0.36, Tr, 0.31, 0.01, , , Tr, , , ,
2, , Tr, 0.45, Tr, 0.38, 0.02, , , , , , ,
3, , , 0.04, , 0.06, , , , , , , ,
4, , , 0.06, , 0.08, Tr, , , , , , Tr,
5, , Tr, 0.12, Tr, 0.09, Tr, , , , , , ,
6, , , 0.09, Tr, 0.09, Tr, , , , , , ,
7, , Tr, 3.10, 0.05, 2.95, 0.06, , , , , , ,
8, , 0.02, 3.70, 0.02, 2.13, 0.10, , , , , 1.36, 0.22,
9, , 0.02, 6.55, 0.04, 1.68, 0.06, , , , , 3.84, 0.37,
10, , 0.04, 6.40, 0.02, 1.61, 0.06, , , , , 4.21, 0.32,
11, 0.02, 0.02, 8.07, 0.02, 1.84, 0.09, , , , , 6.63, 0.42,
12, , 0.03, 8.83, 0.03, 1.77, 0.08, , , , , 7.24, 0.56,
13, , 0.06, 4.52, 0.03, 2.79, 0.01, , , , , 1.57, 0.23,
14, , 0.01, 1.88, 0.01, 0.78, 0.03, , , , , 0.93, 0.15,
15, , 0.06, 3.80, 0.02, 1.00, 0.06, 0.04, , , , 1.99, ,
16, , 0.06, 6.15, 0.04, 2.83, 0.04, 0.02, , , , 2.49, 0.42,
17, , 0.05, 2.92, 0.03, 1.69, 0.06, 0.02, , , , 0.89, 0.19,
18, , 0.06, 3.79, 0.03, 1.34, 0.08, 0.04, , , , 1.82, 0.17,
19, , Tr, 0.24, Tr, 0.38, 0.01, , , , , , ,
20, , 0.02, 0.35, , 0.15, Tr, , , , , 0.02, ,
21, , Tr, 0.60, 0.01, 0.89, 0.03, , , , , , ,
22, , Tr, 0.33, Tr, 0.60, 0.02, , , , , , ,
23, , , 0.28, Tr, 0.45, 0.01, , , , , Tr, Tr,
24, , Tr, 0.34, 0.02, 0.93, 0.06, , , , , , 0.01,
25, , Tr, 0.32, , 0.31, Tr, , Tr, , , Tr, ,
26, , Tr, 0.29, , 0.33, Tr, , Tr, , , Tr, ,
27, , Tr, 0.31, Tr, 0.43, 0.01, , , , , , ,
28, , Tr, 0.45, Tr, 0.75, 0.02, , , , , , ,
29, Tr, 0.03, 0.44, , 0.17, Tr, , , , , 0.04, ,
30, , , 4.85, 0.03, 1.38, 0.03, , , , , 2.81, 0.63,
31, , Tr, 0.08, Tr, 0.17, 0.01, , , , , Tr, Tr,
32, , Tr, 0.26, 0.01, 0.73, , , , , , , Tr,
33, , Tr, 0.38, Tr, 0.63, 0.02, , , , , , ,
34, , 0.01, 0.37, 0.01, 0.74, 0.05, , , , , 0.02, 0.01,
35, , Tr, 0.13, , 0.43, 0.01, , Tr, Tr, , , Tr,
36, 0.03, 0.11, 1.20, , 0.59, 0.03, , , , , 0.13, 0.02,
37, , 0.02, 0.40, Tr, 0.10, , , , , , , ,
38, , 0.01, 0.39, Tr, 0.38, 0.01, , , , , , ,
41, , Tr, 0.38, Tr, 0.73, 0.03, , , , , , Tr,
43, , Tr, 0.89, Tr, 1.29, 0.03, , , Tr, , , ,
44, , Tr, 0.23, Tr, 0.53, 0.02, , , , , , ,
45, , Tr, 0.78, Tr, 0.88, 0.03, , , , , , ,
46, , , 0.05, , 0.13, 0.01, , , , , , ,
47, , , 0.65, 0.02, 1.32, 0.09, , , , , 0.07, 0.04,
48, , 0.01, 0.94, 0.02, 1.06, 0.59, , , , , 0.11, 0.01,
49, , 0.01, 0.62, 0.01, 1.41, 0.14, , , , , 0.01, ,
50, , 0.01, 0.56, 0.01, 0.69, 0.04, , , , , 0.11, 0.05,
51, , 0.01, 0.62, 0.01, 0.98, 0.03, , , , , 0.07, ,
52, , 0.02, 0.74, 0.01, 0.98, 0.08, , , , , 0.21, 0.07,
53, , Tr, 0.85, 0.01, 0.70, 0.04, , , , , 0.35, 0.02,
54, , 0.02, 0.62, 0.01, 0.68, 0.04, , , , , 0.06, ,
55, 0.01, 0.05, 2.82, 0.01, 1.06, 0.04, , , , , 0.52, 0.07,
56, , 0.08, 5.74, 0.04, 6.97, 0.59, 0.02, , , , 0.54, 0.15,
59, , 0.01, 1.66, 0.01, 0.91, 0.03, , , , , 0.47, 0.05,
60, , Tr, 9.75, 0.33, 19.61, 1.32, , 
61, , , 3.67, 0.03, 8.48, 0.69, , , , , , ,
63, , 0.01, 0.76, 0.01, 0.99, 0.05, , , , , 0.38, 0.07,
64, , Tr, 0.22, Tr, 0.15, 0.08, , , , , , ,
